section,group,measure,mean,se,moe95,median,n_unweighted,weighted_total
vehicle_raw,All household vehicles,annual miles per vehicle,13968.4476,408.0179,799.715,6667.0,14471,228967653
vehicle_raw,Light-duty (car/van/SUV/pickup),annual miles per vehicle,14355.6698,416.6662,816.6657,7000.0,13805,218855402
vehicle_raw,Car,annual miles per vehicle,14793.5491,611.4924,1198.5251,6000.0,6294,102151593
vehicle_raw,Van,annual miles per vehicle,15107.9317,1668.2004,3269.6729,7500.0,651,10780492
vehicle_raw,SUV,annual miles per vehicle,14246.5694,604.6617,1185.1369,8000.0,4502,69124762
vehicle_raw,Pickup,annual miles per vehicle,13124.6902,745.061,1460.3195,6000.0,2358,36798555
vehicle_raw,Urban,annual miles per light-duty vehicle,14566.3968,500.2117,980.4149,7000.0,10468,168117674
vehicle_raw,Rural,annual miles per light-duty vehicle,13657.4333,690.7513,1353.8726,7800.0,3337,50737728
household_raw,All households (incl. 0-vehicle),household annual vehicle miles,25274.2279,737.4042,1445.3122,12000.0,7775,125260735
household_raw,Vehicle-owning households,household annual vehicle miles,27637.8598,792.5429,1553.384,13900.0,7299,114548246
household_raw,HHVEHCNT=1,household annual vehicle miles,18340.3255,1059.159,2075.9517,7500.0,2595,41712363
household_raw,HHVEHCNT=2,household annual vehicle miles,30231.0843,1276.7932,2502.5147,16000.0,3145,47385481
household_raw,HHVEHCNT=3,household annual vehicle miles,35894.9557,2447.1065,4796.3288,22000.0,1023,16478989
household_raw,HHVEHCNT=4+,household annual vehicle miles,42002.6362,3270.2467,6409.6836,28000.0,536,8971414
household_raw,"Urban, all households",household annual vehicle miles,24374.2546,845.6538,1657.4815,11000.0,6214,101122191
household_raw,"Urban, vehicle-owning",household annual vehicle miles,27054.4592,921.4693,1806.0798,12500.0,5768,91104317
household_raw,"Rural, all households",household annual vehicle miles,29044.4333,1446.85,2835.8259,17000.0,1561,24138544
household_raw,"Rural, vehicle-owning",household annual vehicle miles,29904.9847,1476.6843,2894.3012,17000.0,1531,23443929
household_raw,"Income <$25k, all households",household annual vehicle miles,22239.3187,2287.9863,4484.4532,2000.0,1004,21028791
household_raw,"Income <$25k, vehicle-owning",household annual vehicle miles,32220.1592,3153.6759,6181.2047,6500.0,753,14514701
household_raw,"Income $25-50k, all households",household annual vehicle miles,22204.6287,1713.2554,3357.9806,9000.0,1367,23170940
household_raw,"Income $25-50k, vehicle-owning",household annual vehicle miles,24161.7726,1840.4546,3607.2911,10000.0,1279,21294055
household_raw,"Income $50-100k, all households",household annual vehicle miles,26600.1288,1353.0879,2652.0523,13000.0,2503,37647133
household_raw,"Income $50-100k, vehicle-owning",household annual vehicle miles,27356.6577,1386.2478,2717.0457,14000.0,2440,36606028
household_raw,"Income $100-150k, all households",household annual vehicle miles,26927.2626,1556.1997,3050.1514,16200.0,1506,20822436
household_raw,"Income $100-150k, vehicle-owning",household annual vehicle miles,27712.8185,1593.7316,3123.714,17000.0,1468,20232197
household_raw,"Income $150k+, all households",household annual vehicle miles,27514.4304,1402.3171,2748.5415,18000.0,1395,22591436
household_raw,"Income $150k+, vehicle-owning",household annual vehicle miles,28381.4882,1434.1181,2810.8714,18500.0,1359,21901264
household_raw,"Income <$10k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,45706.1938,7900.7139,15485.3992,7000.0,188,4114842
household_raw,"Income $10-15k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,24267.0383,4559.3291,8936.2851,6000.0,169,3177510
household_raw,"Income $15-25k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,28035.6775,3811.27,7470.0893,6500.0,396,7222349
household_raw,"Income $25-35k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,26021.5324,3423.3974,6709.859,10000.0,505,8816476
household_raw,"Income $35-50k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,22847.6935,1995.3694,3910.924,10000.0,774,12477579
household_raw,"Income $50-75k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,27781.9514,2039.13,3996.6947,12600.0,1350,20364782
household_raw,"Income $75-100k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,26823.385,1795.7368,3519.6442,15000.0,1090,16241246
household_raw,"Income $100-125k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,28872.5614,2377.7739,4660.4369,16036.0,869,11968093
household_raw,"Income $125-150k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,26033.2763,1827.7536,3582.3971,18000.0,599,8264104
household_raw,"Income $150-200k (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,28475.5196,1805.8591,3539.4838,19000.0,575,9524580
household_raw,"Income $200k+ (HHFAMINC_IMP), vehicle-owning",household annual vehicle miles,28309.1256,2114.4767,4144.3743,18000.0,784,12376685
household_raw,"Primary respondent (PERSONID 01) 65+, all households",household annual vehicle miles,16079.6037,1038.2012,2034.8744,8150.0,2530,33805849
household_raw,"Primary respondent (PERSONID 01) 65+, vehicle-owning",household annual vehicle miles,17335.4501,1108.1324,2171.9395,9900.0,2413,31356824
household_raw,"NOT Primary respondent (PERSONID 01) 65+, vehicle-owning",household annual vehicle miles,31521.083,999.101,1958.238,16000.0,4886,83191422
